# M=14, N=7, max=1, V0=0.0, V=-0.15, PBC
#  time (tJ)                 S₁(ℓ=7)                 S₂(ℓ=7)
   31.400000      1.229414054865E+00      9.813272969264E-01
   31.500000      1.229180085597E+00      9.812746790464E-01
   31.600000      1.228997841851E+00      9.813193980002E-01
   31.700000      1.228878356668E+00      9.814555219939E-01
   31.800000      1.228814525061E+00      9.816495935198E-01
   31.900000      1.228787876561E+00      9.818463738107E-01
   32.000000      1.228775998231E+00      9.819805413551E-01
   32.100000      1.228757897466E+00      9.819919365927E-01
   32.200000      1.228716889705E+00      9.818409065396E-01
   32.300000      1.228642944986E+00      9.815200930206E-01
   32.400000      1.228538540378E+00      9.810596594576E-01
   32.500000      1.228423708701E+00      9.805242768909E-01
   32.600000      1.228330173543E+00      9.800019572083E-01
   32.700000      1.228286705699E+00      9.795867628812E-01
   32.800000      1.228309128680E+00      9.793591210284E-01
   32.900000      1.228394891579E+00      9.793683703750E-01
   33.000000      1.228525266595E+00      9.796218320426E-01
   33.100000      1.228676512399E+00      9.800830969838E-01
   33.200000      1.228832728087E+00      9.806798385704E-01
   33.300000      1.228990390028E+00      9.813190467591E-01
   33.400000      1.229154742165E+00      9.819058563864E-01
   33.500000      1.229337589340E+00      9.823615387712E-01
   33.600000      1.229554213214E+00      9.826368007637E-01
   33.700000      1.229814637723E+00      9.827180044097E-01
   33.800000      1.230114454219E+00      9.826257835705E-01
   33.900000      1.230432204327E+00      9.824072604891E-01
   34.000000      1.230734304061E+00      9.821242591087E-01
   34.100000      1.230984172806E+00      9.818403855540E-01
   34.200000      1.231149575519E+00      9.816096139696E-01
   34.300000      1.231209211305E+00      9.814682574421E-01
   34.400000      1.231162514536E+00      9.814312063152E-01
   34.500000      1.231033722038E+00      9.814923748820E-01
   34.600000      1.230867694227E+00      9.816286069896E-01
   34.700000      1.230716266247E+00      9.818059068765E-01
   34.800000      1.230617343567E+00      9.819867406939E-01
   34.900000      1.230579956456E+00      9.821372091875E-01
   35.000000      1.230588691969E+00      9.822330251068E-01
   35.100000      1.230615250914E+00      9.822633842735E-01
   35.200000      1.230629298625E+00      9.822320411162E-01
   35.300000      1.230606095352E+00      9.821552940171E-01
   35.400000      1.230533066755E+00      9.820571719106E-01
   35.500000      1.230416567193E+00      9.819627397232E-01
   35.600000      1.230281925770E+00      9.818909090931E-01
   35.700000      1.230163347511E+00      9.818483853158E-01
   35.800000      1.230083939843E+00      9.818264205179E-01
   35.900000      1.230038525281E+00      9.818017657830E-01
   36.000000      1.229996128705E+00      9.817423692891E-01
   36.100000      1.229921824472E+00      9.816169100765E-01
   36.200000      1.229800485857E+00      9.814056772060E-01
   36.300000      1.229649299303E+00      9.811094360490E-01
   36.400000      1.229513995561E+00      9.807533265235E-01
   36.500000      1.229440084975E+00      9.803843553838E-01
   36.600000      1.229434954323E+00      9.800629645663E-01
   36.700000      1.229474029025E+00      9.798507471709E-01
   36.800000      1.229529590873E+00      9.797972546397E-01
   36.900000      1.229591652942E+00      9.799289337552E-01
   37.000000      1.229672230116E+00      9.802426400094E-01
   37.100000      1.229791981016E+00      9.807050599138E-01
   37.200000      1.229959706393E+00      9.812580136883E-01
   37.300000      1.230163497898E+00      9.818283653740E-01
   37.400000      1.230383100875E+00      9.823404501453E-01
   37.500000      1.230606380336E+00      9.827286444436E-01
   37.600000      1.230830903856E+00      9.829478589457E-01
   37.700000      1.231049049135E+00      9.829801990046E-01
   37.800000      1.231233501937E+00      9.828367785626E-01
   37.900000      1.231342629485E+00      9.825546536094E-01
   38.000000      1.231344114935E+00      9.821898143600E-01
   38.100000      1.231234323028E+00      9.818077411047E-01
   38.200000      1.231041375069E+00      9.814730233805E-01
   38.300000      1.230814633726E+00      9.812393001585E-01
   38.400000      1.230605580461E+00      9.811407913225E-01
   38.500000      1.230448189159E+00      9.811869477610E-01
   38.600000      1.230353891760E+00      9.813616255617E-01
   38.700000      1.230324813483E+00      9.816271926511E-01
   38.800000      1.230354327756E+00      9.819324880843E-01
   38.900000      1.230426766192E+00      9.822225815003E-01
   39.000000      1.230514982312E+00      9.824483659581E-01
   39.100000      1.230575791717E+00      9.825746442956E-01
   39.200000      1.230562023964E+00      9.825856538987E-01
   39.300000      1.230450426071E+00      9.824868228060E-01
   39.400000      1.230260211568E+00      9.823017937963E-01
   39.500000      1.230041169450E+00      9.820650444360E-01
   39.600000      1.229842369580E+00      9.818122498827E-01
   39.700000      1.229687063077E+00      9.815715606581E-01
   39.800000      1.229566459010E+00      9.813584003405E-01
   39.900000      1.229453471566E+00      9.811747104946E-01
   40.000000      1.229325008146E+00      9.810119746370E-01
   40.100000      1.229176216385E+00      9.808566038051E-01
   40.200000      1.229020144841E+00      9.806962291481E-01
   40.300000      1.228885279781E+00      9.805255822185E-01
   40.400000      1.228806404919E+00      9.803507009328E-01
   40.500000      1.228804862700E+00      9.801903520291E-01
   40.600000      1.228876758357E+00      9.800740279336E-01
   40.700000      1.228999199395E+00      9.800366121966E-01
   40.800000      1.229145583418E+00      9.801105849683E-01
   40.900000      1.229301160544E+00      9.803172835396E-01
   41.000000      1.229469462309E+00      9.806591640591E-01
   41.100000      1.229665791011E+00      9.811151098062E-01
   41.200000      1.229903730979E+00      9.816404132746E-01
   41.300000      1.230185042701E+00      9.821720716590E-01
   41.400000      1.230497301216E+00      9.826387403892E-01
   41.500000      1.230814850151E+00      9.829735459400E-01
   41.600000      1.231098655422E+00      9.831272840513E-01
   41.700000      1.231300641117E+00      9.830793198443E-01
   41.800000      1.231378189319E+00      9.828436397370E-01
   41.900000      1.231314947524E+00      9.824680621277E-01
   42.000000      1.231132996224E+00      9.820258664314E-01
   42.100000      1.230886940914E+00      9.816010841772E-01
   42.200000      1.230647058360E+00      9.812708314753E-01
   42.300000      1.230476232442E+00      9.810893297309E-01
   42.400000      1.230408999070E+00      9.810778858903E-01
   42.500000      1.230439551436E+00      9.812231502353E-01
   42.600000      1.230528775962E+00      9.814833282460E-01
   42.700000      1.230625809610E+00      9.817998237433E-01
   42.800000      1.230686388305E+00      9.821107579807E-01
   42.900000      1.230683774028E+00      9.823630033521E-01
   43.000000      1.230613674405E+00      9.825203744011E-01
   43.100000      1.230492098559E+00      9.825669143686E-01
   43.200000      1.230345198294E+00      9.825054462030E-01
   43.300000      1.230196753983E+00      9.823525620790E-01
   43.400000      1.230056548104E+00      9.821319155406E-01
   43.500000      1.229918341235E+00      9.818679180317E-01
   43.600000      1.229769553351E+00      9.815815655490E-01
   43.700000      1.229605132287E+00      9.812891297980E-01
   43.800000      1.229433279809E+00      9.810031895369E-01
   43.900000      1.229269272900E+00      9.807345951327E-01
   44.000000      1.229129042315E+00      9.804939821377E-01
   44.100000      1.229024581551E+00      9.802922930512E-01
   44.200000      1.228962916597E+00      9.801406698246E-01
   44.300000      1.228951097474E+00      9.800502337267E-01
   44.400000      1.229001648383E+00      9.800316388732E-01
   44.500000      1.229128437234E+00      9.800937287504E-01
   44.600000      1.229333535538E+00      9.802410058457E-01
   44.700000      1.229593409075E+00      9.804707779063E-01
   44.800000      1.229860243585E+00      9.807716008330E-01
   44.900000      1.230093074144E+00      9.811240421492E-01
   45.000000      1.230285151638E+00      9.815032273231E-01
   45.100000      1.230469054769E+00      9.818815551870E-01
   45.200000      1.230690708022E+00      9.822304204838E-01
   45.300000      1.230965580433E+00      9.825213013339E-01
   45.400000      1.231256381086E+00      9.827276539266E-01
   45.500000      1.231492804061E+00      9.828286440738E-01
   45.600000      1.231615104056E+00      9.828141706158E-01
   45.700000      1.231605655166E+00      9.826892049822E-01
   45.800000      1.231490958340E+00      9.824752606186E-01
   45.900000      1.231320481629E+00      9.822078828635E-01
   46.000000      1.231144253074E+00      9.819306451734E-01
   46.100000      1.231007484910E+00      9.816873540954E-01
   46.200000      1.230947108539E+00      9.815145322972E-01
   46.300000      1.230958590628E+00      9.814358220564E-01
   46.400000      1.231019085645E+00      9.814591051849E-01
   46.500000      1.231100775426E+00      9.815763053101E-01
