# M=24, N=12, V0=0.0, V=0.15, PBC
#  time (tJ)                S₁(ℓ=12)                S₂(ℓ=12)
   31.800000      1.413336376830E+00      1.066346403038E+00
   31.900000      1.413340486961E+00      1.066569865017E+00
   32.000000      1.413359469425E+00      1.066853195410E+00
   32.100000      1.413400945961E+00      1.067196813361E+00
   32.200000      1.413469115346E+00      1.067599085190E+00
   32.300000      1.413563233889E+00      1.068052510938E+00
   32.400000      1.413680010477E+00      1.068541043222E+00
   32.500000      1.413814965267E+00      1.069039600024E+00
   32.600000      1.413961426232E+00      1.069516262874E+00
   32.700000      1.414109742302E+00      1.069936813710E+00
   32.800000      1.414248489187E+00      1.070270445001E+00
   32.900000      1.414366980875E+00      1.070495082024E+00
   33.000000      1.414457407426E+00      1.070601014059E+00
   33.100000      1.414515328436E+00      1.070592298366E+00
   33.200000      1.414538677550E+00      1.070486223673E+00
   33.300000      1.414526434365E+00      1.070311532810E+00
   33.400000      1.414478328314E+00      1.070105939450E+00
   33.500000      1.414396549103E+00      1.069912967790E+00
   33.600000      1.414288240893E+00      1.069777764063E+00
   33.700000      1.414166315140E+00      1.069741642103E+00
   33.800000      1.414048272918E+00      1.069835737966E+00
   33.900000      1.413953519777E+00      1.070074899248E+00
   34.000000      1.413898432543E+00      1.070453345787E+00
   34.100000      1.413889443277E+00      1.070943439126E+00
   34.200000      1.413917258783E+00      1.071498182290E+00
   34.300000      1.413957427446E+00      1.072057188510E+00
   34.400000      1.413980062129E+00      1.072555147167E+00
   34.500000      1.413963782997E+00      1.072931407549E+00
   34.600000      1.413905389350E+00      1.073139130189E+00
   34.700000      1.413820448443E+00      1.073152435679E+00
   34.800000      1.413735020161E+00      1.072970153799E+00
   34.900000      1.413672961270E+00      1.072615276844E+00
   35.000000      1.413645836625E+00      1.072130094676E+00
   35.100000      1.413651161360E+00      1.071568042675E+00
   35.200000      1.413678546222E+00      1.070984146564E+00
   35.300000      1.413717544924E+00      1.070426250960E+00
   35.400000      1.413761394114E+00      1.069928862587E+00
   35.500000      1.413806104813E+00      1.069510594002E+00
   35.600000      1.413848497003E+00      1.069175178639E+00
   35.700000      1.413885704833E+00      1.068915150235E+00
   35.800000      1.413915965679E+00      1.068716750648E+00
   35.900000      1.413939397645E+00      1.068564556079E+00
   36.000000      1.413957551627E+00      1.068444689677E+00
   36.100000      1.413971877449E+00      1.068346179222E+00
   36.200000      1.413982944412E+00      1.068260754348E+00
   36.300000      1.413991600669E+00      1.068181859956E+00
   36.400000      1.414001172741E+00      1.068103717020E+00
   36.500000      1.414018536992E+00      1.068020940234E+00
   36.600000      1.414052216113E+00      1.067928758353E+00
   36.700000      1.414107702648E+00      1.067823538909E+00
   36.800000      1.414183484523E+00      1.067703232548E+00
   36.900000      1.414271839952E+00      1.067567497821E+00
   37.000000      1.414363194396E+00      1.067417521784E+00
   37.100000      1.414449586627E+00      1.067255783723E+00
   37.200000      1.414524982238E+00      1.067086122775E+00
   37.300000      1.414583050276E+00      1.066914403615E+00
   37.400000      1.414615477217E+00      1.066749807464E+00
   37.500000      1.414614459122E+00      1.066606360467E+00
   37.600000      1.414579839271E+00      1.066503899403E+00
   37.700000      1.414526359674E+00      1.066467488832E+00
   37.800000      1.414484265347E+00      1.066524544756E+00
   37.900000      1.414490192133E+00      1.066699638077E+00
   38.000000      1.414570654986E+00      1.067007952635E+00
   38.100000      1.414725025248E+00      1.067449236911E+00
   38.200000      1.414920717720E+00      1.068004341098E+00
   38.300000      1.415107031368E+00      1.068635821285E+00
   38.400000      1.415237909767E+00      1.069292806336E+00
   38.500000      1.415290003044E+00      1.069918944307E+00
   38.600000      1.415268091879E+00      1.070461420672E+00
   38.700000      1.415196961907E+00      1.070879060902E+00
   38.800000      1.415105224491E+00      1.071148157426E+00
   38.900000      1.415010730686E+00      1.071265368032E+00
   39.000000      1.414916367141E+00      1.071247459461E+00
   39.100000      1.414816705000E+00      1.071127891570E+00
   39.200000      1.414706951925E+00      1.070950597441E+00
   39.300000      1.414586408448E+00      1.070761989499E+00
   39.400000      1.414456404222E+00      1.070602947328E+00
   39.500000      1.414317389207E+00      1.070502782024E+00
   39.600000      1.414170109732E+00      1.070476580456E+00
   39.700000      1.414021107714E+00      1.070526102415E+00
   39.800000      1.413886224049E+00      1.070643172288E+00
   39.900000      1.413785091867E+00      1.070813906449E+00
   40.000000      1.413728902201E+00      1.071022339051E+00
   40.100000      1.413712680378E+00      1.071252729914E+00
   40.200000      1.413717976914E+00      1.071490536172E+00
   40.300000      1.413722077121E+00      1.071722384125E+00
   40.400000      1.413707191781E+00      1.071935425364E+00
   40.500000      1.413664810685E+00      1.072116424273E+00
   40.600000      1.413594528740E+00      1.072250941801E+00
   40.700000      1.413500524107E+00      1.072323007516E+00
   40.800000      1.413389602002E+00      1.072315597616E+00
   40.900000      1.413272421932E+00      1.072212043033E+00
   41.000000      1.413165765652E+00      1.071998270483E+00
   41.100000      1.413091267920E+00      1.071665614785E+00
   41.200000      1.413067594020E+00      1.071213821850E+00
   41.300000      1.413098576417E+00      1.070653724430E+00
   41.400000      1.413166422413E+00      1.070008913549E+00
   41.500000      1.413238556937E+00      1.069315650689E+00
   41.600000      1.413284107334E+00      1.068620410610E+00
   41.700000      1.413288081191E+00      1.067974880096E+00
   41.800000      1.413256186211E+00      1.067428898510E+00
   41.900000      1.413210081773E+00      1.067022529199E+00
   42.000000      1.413176436784E+00      1.066778954191E+00
   42.100000      1.413175215577E+00      1.066699962476E+00
   42.200000      1.413212047485E+00      1.066765337494E+00
   42.300000      1.413276125479E+00      1.066936516636E+00
   42.400000      1.413345905761E+00      1.067163773890E+00
   42.500000      1.413402907110E+00      1.067395251109E+00
   42.600000      1.413443310188E+00      1.067585750978E+00
   42.700000      1.413479527623E+00      1.067703413821E+00
   42.800000      1.413532901332E+00      1.067733104563E+00
   42.900000      1.413621733412E+00      1.067676264821E+00
   43.000000      1.413750610789E+00      1.067547850290E+00
   43.100000      1.413908243170E+00      1.067371561067E+00
   43.200000      1.414074676975E+00      1.067174775962E+00
   43.300000      1.414230765148E+00      1.066984421740E+00
   43.400000      1.414364291245E+00      1.066824531705E+00
   43.500000      1.414471761224E+00      1.066715614822E+00
   43.600000      1.414557452787E+00      1.066675323745E+00
   43.700000      1.414632002762E+00      1.066719438921E+00
   43.800000      1.414711587878E+00      1.066862042429E+00
   43.900000      1.414816773096E+00      1.067114074332E+00
   44.000000      1.414968600068E+00      1.067480241532E+00
   44.100000      1.415177896802E+00      1.067955227103E+00
   44.200000      1.415433120272E+00      1.068520847053E+00
   44.300000      1.415702213794E+00      1.069145768111E+00
   44.400000      1.415941713411E+00      1.069788539382E+00
   44.500000      1.416108040355E+00      1.070403403071E+00
   44.600000      1.416169510239E+00      1.070947308106E+00
   44.700000      1.416115029498E+00      1.071386256998E+00
   44.800000      1.415956324600E+00      1.071699587315E+00
   44.900000      1.415723270619E+00      1.071881620566E+00
   45.000000      1.415454494329E+00      1.071940834455E+00
   45.100000      1.415186516453E+00      1.071897115434E+00
   45.200000      1.414944403397E+00      1.071777801155E+00
   45.300000      1.414736637060E+00      1.071613283288E+00
   45.400000      1.414556327357E+00      1.071432953032E+00
   45.500000      1.414388734953E+00      1.071262155765E+00
   45.600000      1.414221434828E+00      1.071120513963E+00
   45.700000      1.414051503637E+00      1.071021545173E+00
   45.800000      1.413886351865E+00      1.070973123436E+00
   45.900000      1.413739088798E+00      1.070978181411E+00
   46.000000      1.413622014573E+00      1.071035182307E+00
   46.100000      1.413541392577E+00      1.071138214937E+00
   46.200000      1.413494596667E+00      1.071276905149E+00
   46.300000      1.413470104507E+00      1.071436528588E+00
   46.400000      1.413450312518E+00      1.071598678641E+00
   46.500000      1.413416089255E+00      1.071742623793E+00
   46.600000      1.413351720236E+00      1.071847190687E+00
   46.700000      1.413249314805E+00      1.071892765245E+00
   46.800000      1.413111648419E+00      1.071862922015E+00
   46.900000      1.412952319664E+00      1.071745319995E+00
   47.000000      1.412792411632E+00      1.071531807723E+00
   47.100000      1.412652497606E+00      1.071218043080E+00
   47.200000      1.412544288011E+00      1.070803188692E+00
   47.300000      1.412467104989E+00      1.070290251684E+00
   47.400000      1.412409127190E+00      1.069687353742E+00
   47.500000      1.412352785093E+00      1.069009729572E+00
   47.600000      1.412282221442E+00      1.068281744987E+00
   47.700000      1.412189622169E+00      1.067537914738E+00
   47.800000      1.412078295627E+00      1.066821941741E+00
   47.900000      1.411961898581E+00      1.066183225447E+00
   48.000000      1.411859870731E+00      1.065670985986E+00
   48.100000      1.411789571410E+00      1.065326904952E+00
   48.200000      1.411758162226E+00      1.065177750433E+00
   48.300000      1.411759314526E+00      1.065229647849E+00
   48.400000      1.411776212689E+00      1.065465408408E+00
   48.500000      1.411789138622E+00      1.065845694983E+00
   48.600000      1.411784971620E+00      1.066313968371E+00
   48.700000      1.411764362376E+00      1.066804355529E+00
   48.800000      1.411742491272E+00      1.067251036420E+00
   48.900000      1.411742275934E+00      1.067597573131E+00
   49.000000      1.411783220941E+00      1.067804773682E+00
   49.100000      1.411872210947E+00      1.067856052431E+00
   49.200000      1.412001335570E+00      1.067759660509E+00
   49.300000      1.412153170422E+00      1.067547526068E+00
   49.400000      1.412309748296E+00      1.067270775763E+00
   49.500000      1.412460254579E+00      1.066992368466E+00
   49.600000      1.412603949973E+00      1.066777696963E+00
   49.700000      1.412747391101E+00      1.066684458396E+00
   49.800000      1.412898925276E+00      1.066753430710E+00
   49.900000      1.413065301710E+00      1.067001857051E+00
   50.000000      1.413250561148E+00      1.067420814676E+00
   50.100000      1.413455295376E+00      1.067977226937E+00
   50.200000      1.413676287546E+00      1.068620208438E+00
   50.300000      1.413906304054E+00      1.069290465408E+00
   50.400000      1.414133475966E+00      1.069930778197E+00
   50.500000      1.414341258771E+00      1.070495365176E+00
   50.600000      1.414510715877E+00      1.070956223155E+00
   50.700000      1.414625328688E+00      1.071305273317E+00
   50.800000      1.414676326204E+00      1.071552128672E+00
   50.900000      1.414665699759E+00      1.071718307809E+00
   51.000000      1.414605362505E+00      1.071829517984E+00
   51.100000      1.414513500564E+00      1.071908027746E+00
   51.200000      1.414410968725E+00      1.071967040719E+00
   51.300000      1.414319187179E+00      1.072008389013E+00
   51.400000      1.414258256207E+00      1.072023943682E+00
   51.500000      1.414242681124E+00      1.072000146023E+00
   51.600000      1.414274002303E+00      1.071924269203E+00
   51.700000      1.414335595520E+00      1.071790621719E+00
   51.800000      1.414398131232E+00      1.071604966986E+00
   51.900000      1.414434714116E+00      1.071385897161E+00
   52.000000      1.414434010144E+00      1.071162636941E+00
   52.100000      1.414402937312E+00      1.070969620785E+00
   52.200000      1.414359096912E+00      1.070839028471E+00
   52.300000      1.414318695111E+00      1.070793084589E+00
   52.400000      1.414287926701E+00      1.070838109472E+00
   52.500000      1.414262801098E+00      1.070961906831E+00
   52.600000      1.414235297012E+00      1.071135143193E+00
   52.700000      1.414200443747E+00      1.071316221112E+00
